"id";"name";"genitive";"locativus";"level";"parent";"children";"neighbours";"RSPOstateId";"RSPOdistrictId"
"303100";"Powiat złotowski";"powiatu złotowskiego";"powiecie złotowskim";"p";"300000";;"301900,321700,041300,321500,220300,320300";15;354
"306100";"Kalisz";"Kalisza";"Kaliszu";"p";"300000";;"302000,301700,300700";15;355
"306200";"Konin";"Konina";"Koninie";"p";"300000";;"301000";15;356
"306300";"Leszno";"Leszna";"Lesznie";"p";"300000";;"301300";15;357
"306400";"Poznań";"Poznania";"Poznaniu";"p";"300000";;"302100";15;358
"320000";"Województwo zachodniopomorskie";"województwa zachodniopomorskiego";"województwie zachodniopomorskim";"w";"000000";"320100,320200,320300,320400,320500,320600,320700,320800,320900,321000,321100,321200,321300,321400,321500,321600,321700,321800,326100,326200,326300";"080000,300000,220000";16;
"320100";"Powiat białogardzki";"powiatu białogardzkiego";"powiecie białogardzkim";"p";"320000";;"320800,320900,321500,321600";16;359
"320200";"Powiat choszczeński";"powiatu choszczeńskiego";"powiecie choszczeńskim";"p";"320000";;"321000,321700,321400,080600,320300";16;360
"320300";"Powiat drawski";"powiatu drawskiego";"powiecie drawskim";"p";"320000";;"321800,321700,303100,321400,321500,321600,320200";16;361
"320400";"Powiat goleniowski";"powiatu goleniowskiego";"powiecie goleniowskim";"p";"320000";;"321100,321800,321400,326200,326300,320500,320700";16;362
"320500";"Powiat gryficki";"powiatu gryfickiego";"powiecie gryfickim";"p";"320000";;"320800,321800,320400,320700";16;363
"320600";"Powiat gryfiński";"powiatu gryfińskiego";"powiecie gryfińskim";"p";"320000";;"321100,321200,321000,321400,326200";16;364
"320700";"Powiat kamieński";"powiatu kamieńskiego";"powiecie kamieńskim";"p";"320000";;"326300,320400,320500";16;365
"320800";"Powiat kołobrzeski";"powiatu kołobrzeskiego";"powiecie kołobrzeskim";"p";"320000";;"320900,321800,321600,320500,320100";16;366
